repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study
aws-virginia	FI3406	5699d7a8-3560-5451-995b-13d43ec3773e	BAM	c22e9a9f76be4fd90d736b12256ee5d3.bam	122002028472	de0be14f523ed45d0b875a4cbb5ab35c	47dff909-f6a9-5656-ad54-e78aaf144051	DO45219	LIRI-JP	PCAWG
aws-virginia	FI21968	10ca56bb-71cf-560b-a546-e8f8e430adb2	BAM	c0380a3a4b84c275f9d482daeb7868ec.bam	137195539842	cfe4692f9aabb720161ba65410dd779f	205bb14e-7a86-50a8-8a5c-bc38e8d293bf	DO48727	LIRI-JP	PCAWG
aws-virginia	FI49035	268d95b5-d013-5b3c-a453-ca7209390560	BAM	184cd60fc339a1f3bce6631ca2c315f5.bam	127008178079	36834da74cac17193dc7aa2ab3f87c22	802d2c35-493a-5bfc-b507-c6c8c42cd874	DO50808	LIRI-JP	PCAWG
aws-virginia	FI1355	6a862274-7a6c-5834-b0c6-6ef3e6c6fa94	BAM	60c1b594f48a5e791f6a8e2d24f02b61.bam	102376027604	b8a2fb4cd1a7f718f6b2a4e34e339658	cd6989c5-50ae-5864-bfb7-bf29b580d33e	DO50774	LIRI-JP	PCAWG
aws-virginia	FI37464	88caf943-3dbd-54ee-99fc-38c0029250ad	BAM	3eaa5ad57b778829907b36ac45baa681.bam	120860783800	034cf0ea22610ddd64e49b47cbec8490	29debc2f-48bb-5636-9507-19d2b8a21e73	DO45147	LIRI-JP	PCAWG
