Access	File ID	Object ID	File Name	ICGC Donor	Specimen ID	Specimen Type	Sample ID	Repository	Project	Study	Data Type	Experimental Strategy	Format	Size (bytes)
controlled	FI30638	434c5fce-46a6-53fd-bbf0-8b047c177905	747351fcbce916b22cf23184412d039e.bam	DO52580	SP116426	Normal - blood derived	SA541973	AWS - Virginia,EGA - Hinxton,Azure - Toronto,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.86275278423E11
controlled	FI19349	88f8d9ba-2e3d-595a-bd28-ce7295a94b68	1ae952a516d3a981c832cf95de9d4b20.bam	DO52584	SP116438	Normal - solid tissue	SA541919	EGA - Hinxton,Azure - Toronto,AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.31961451184E11
controlled	FI19350	e1b9a5be-f73d-5e64-844e-06b3889b1f2c	8c7f8f25dc4fd74123baa9a099742047.bam	DO52584	SP116437	Primary tumour - solid tissue	SA541918	Collaboratory - Toronto,Azure - Toronto,EGA - Hinxton,AWS - Virginia	BOCA-UK	PCAWG			BAM	1.49819798618E11
controlled	FI803098	ae4ae8e2-5c23-51e3-859e-a657c3bfaf5b	-abca37398ecaf8947b48eaa60680586a.bam	DO52631	SP116559	Primary tumour - solid tissue	SA542006	Collaboratory - Toronto,AWS - Virginia,Azure - Toronto	BOCA-UK	PCAWG			BAM	2.38667959E8
controlled	FI803058	6f7f1bda-d039-5b44-989f-92109a7dc69e	-ec1dbea57e3bbb155f7ea6f42cfd6b91.bam	DO52618	SP116529	Normal - blood derived	SA541889	AWS - Virginia,Collaboratory - Toronto,Azure - Toronto	BOCA-UK	PCAWG			BAM	1.55278761E8
controlled	FI803062	8d6cc1d9-4ec4-5cfb-b581-3c1f6da87e2c	-73f825482719b1f8069820746de863ef.bam	DO52569	SP116394	Normal - solid tissue	SA541955	Azure - Toronto,AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.18423126E8
controlled	FI803879	98d596f5-b8f4-50a8-bd3e-b4e7fd874843	-6ec712be863e8d0eefce4eaa68c32804.bam	DO52599	SP116480	Normal - blood derived	SA541937	Azure - Toronto,AWS - Virginia,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	9.63214908E8
controlled	FI803741	446073ca-c841-539c-a572-012e6f8c539e	-56e9ea4825d86f21a3fa9804bc198e86.bam	DO52621	SP116536	Primary tumour - solid tissue	SA541990	AWS - Virginia,Azure - Toronto,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.67975408E8
controlled	FI803753	76467c9e-a97f-5a67-8bc6-61e0d4391ac5	-561249f63b7b65807ce0aeec745572e2.bam	DO52645	SP116596	Primary tumour - solid tissue	SA541904	AWS - Virginia,Azure - Toronto,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	2.41331669E8
controlled	FI47998	a150fb75-817d-50b6-9e6b-cd4ce3a273cf	ec1dbea57e3bbb155f7ea6f42cfd6b91.bam	DO52618	SP116529	Normal - blood derived	SA541889	Azure - Toronto,AWS - Virginia,EGA - Hinxton,Collaboratory - Toronto	BOCA-UK	PCAWG			BAM	1.12978498947E11
