repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study
aws-virginia	FI20647	14129167-0158-5641-8b0f-3bbe27a87666	BAM	61ecb75f255cdae835fd70788bfb568e.bam	77201985977	61ecb75f255cdae835fd70788bfb568e	9d625c9f-5473-5265-90a5-890feade8687	DO49537	LAML-KR	PCAWG
aws-virginia	FI10264	eeaf51a9-afda-5c05-9af2-10f562512015	BAM	f853b0f0c5eec85cf972b19863b57aa6.bam	123810987976	f853b0f0c5eec85cf972b19863b57aa6	76be8e1e-fc20-5588-830c-8e783b73b403	DO49529	LAML-KR	PCAWG
aws-virginia	FI8782	f35f8296-ed87-5e3b-a024-474913e356ed	BAM	eeee5a64835c9b514c7c7e7c235557a4.bam	104269392346	eeee5a64835c9b514c7c7e7c235557a4	eac1addf-72d8-50a3-aa42-1b20e0cf2867	DO6585	CLLE-ES	PCAWG
aws-virginia	FI18033	376cfddd-1e59-538e-a949-808b5e6ee4a8	BAM	bb110e302cb9e8a70e295951c4aadd63.bam	96018841049	bb110e302cb9e8a70e295951c4aadd63	af44f63e-4253-56d1-89fd-80a583917edd	DO52717	CLLE-ES	PCAWG
aws-virginia	FI18032	c9732cfb-ea5d-572c-a7f6-a72dd5c7aa72	BAM	ee36cf9233c3148385435ab55e839bb6.bam	86683686837	ee36cf9233c3148385435ab55e839bb6	3f978f35-fd0d-5a5e-9540-a6711e6500b2	DO52717	CLLE-ES	PCAWG
